location_id,review_text,sentiment
1,"An incredible collection of world history, the Rosetta Stone was amazing. Could spend a whole day here.",pos
1,"Felt a bit uncomfortable with all the stolen artifacts. It's impressive but morally questionable.",neg
1,"Free entry is a huge plus, but it means it's always packed with tourists.",neg
2,"Loved the turbine hall installation! A really thought-provoking space for modern art lovers.",pos
2,"Some of the exhibits were a bit pretentious and confusing for me. Not my cup of tea.",neg
3,"A must-see for any art lover. The collection is vast and covers so many important periods.",pos
4,"The dinosaur exhibit is world-class. Perfect for kids and adults alike. A fantastic day out.",pos
4,"The queues can be horrendous, especially during school holidays. Book tickets in advance!",neg
5,"The fashion and design collections are unparalleled. A beautiful and inspiring museum.",pos
6,"The interactive exhibits are great for children. A very educational and fun experience.",pos
7,"So much history in one place! The Crown Jewels are absolutely stunning. A must-see.",pos
7,"The ticket price was very expensive and the queues were enormous. Felt a bit like a tourist trap.",neg
7,"The Yeoman Warder tour was the highlight - so entertaining and informative.",pos
8,"A stunning piece of architecture and history. The sense of occasion is palpable.",pos
9,"Climbing to the top gives you one of the best panoramic views of London. Worth the effort.",pos
10,"You can't go inside easily, but seeing it from the outside is iconic enough. A symbol of London.",pos
11,"Seeing the guards is iconic, but you can't really see much of the palace itself. Good for a photo.",pos
11,"Overcrowded and you can't get very close. A bit of an underwhelming experience.",neg
12,"Walking across Tower Bridge is an essential London experience. The views are fantastic.",pos
12,"The glass floor in the walkway is a brilliant touch. A unique perspective on the Thames.",pos
13,"The gardens are beautiful and the palace itself is full of interesting royal history.",
14,"A fascinating insight into WWII history. The underground bunker is perfectly preserved.",
16,"Seeing a play here is magical. The atmosphere is like nothing else.",
17,"The food here is incredible! So many amazing stalls and fresh produce. A foodie paradise.",
17,"It gets unbelievably crowded on weekends. Very difficult to walk around and enjoy the atmosphere.",
17,"Tried the cheese raclette and it was divine. A must-visit for any food lover.",
18,"Best Indian food I've ever had. The bacon naan roll is legendary for a reason. Worth the wait.",
18,"The queue is always massive. The food is good, but I'm not sure it's worth a 2-hour wait.",
19,"Classic European dining. The service is impeccable and the room is beautiful.",
20,"The best pasta in London, hands down. Simple, fresh, and delicious.",
20,"The queue is a nightmare and they don't take reservations. The pasta is great, but the hassle isn't.",
23,"The view is the main reason to come here. The food is good, but expensive for what it is.",
26,"The bao buns are fluffy and delicious. A great quick bite near the market.",
